Address:,TCPIP0::192.168.1.2::inst0::INSTR,,Time (s),X at Max Y(4),X at Max Y(1)
Model:,MSO-X 4154A,,2022-12-13 14:06:40.911,1.8E-09,-3.14E-08
Serial Number:,MY60101365,,2022-12-13 14:06:41.411,4.08E-08,3.8E-08
Firmware Version:,07.31.2020012900,,2022-12-13 14:06:41.910,6.72E-08,-8.56E-08
Start Time:,2022-12-13 14:06:40.911,,2022-12-13 14:06:42.410,4.56E-08,3.64E-08
Stop Time:,2022-12-13 14:16:40.909,,2022-12-13 14:06:42.910,-9.22E-08,3.52E-08
Sample Period:,0.5,,2022-12-13 14:06:43.409,-6.94E-08,4.14E-08
,,,2022-12-13 14:06:43.909,4.66E-08,-5.12E-08
,,,2022-12-13 14:06:44.410,7.04E-08,6.16E-08
,,,2022-12-13 14:06:44.909,5.7E-08,6.22E-08
,,,2022-12-13 14:06:45.409,4.32E-08,9.68E-08
,,,2022-12-13 14:06:45.909,4.74E-08,4.16E-08
,,,2022-12-13 14:06:46.409,4.7E-08,3.24E-08
,,,2022-12-13 14:06:46.909,4.22E-08,1.2E-08
,,,2022-12-13 14:06:47.408,-9.9E-08,-7.42E-08
,,,2022-12-13 14:06:47.908,4.94E-08,-7.46E-08
,,,2022-12-13 14:06:48.409,5.9E-08,3.98E-08
,,,2022-12-13 14:06:48.909,4.78E-08,3.36E-08
,,,2022-12-13 14:06:49.409,-8.1E-08,3.64E-08
,,,2022-12-13 14:06:49.909,5.06E-08,4.22E-08
,,,2022-12-13 14:06:50.410,6.1E-08,3.88E-08
,,,2022-12-13 14:06:50.910,5.24E-08,3.68E-08
,,,2022-12-13 14:06:51.410,-9.08E-08,4.14E-08
,,,2022-12-13 14:06:51.910,-7.8E-08,3.16E-08
,,,2022-12-13 14:06:52.410,4.24E-08,3.4E-08
,,,2022-12-13 14:06:52.910,-8.08E-08,3.38E-08
,,,2022-12-13 14:06:53.410,-9.8E-08,3.42E-08
,,,2022-12-13 14:06:53.910,-4.2E-09,-6.68E-08
,,,2022-12-13 14:06:54.410,4.96E-08,3.76E-08
,,,2022-12-13 14:06:54.911,4.06E-08,3.4E-08
,,,2022-12-13 14:06:55.410,-8.94E-08,3.58E-08
,,,2022-12-13 14:06:55.909,3.22E-08,3.7E-08
,,,2022-12-13 14:06:56.410,4.74E-08,5.3E-08
,,,2022-12-13 14:06:56.910,4.92E-08,3.52E-08
,,,2022-12-13 14:06:57.408,9.98E-08,-1.28E-08
,,,2022-12-13 14:06:57.908,4.74E-08,3.56E-08
,,,2022-12-13 14:06:58.409,5.76E-08,3.72E-08
,,,2022-12-13 14:06:58.909,3.42E-08,4.2E-08
,,,2022-12-13 14:06:59.409,4.86E-08,3.4E-09
,,,2022-12-13 14:06:59.909,-9.98E-08,4.1E-08
,,,2022-12-13 14:07:00.410,5.14E-08,3.1E-08
,,,2022-12-13 14:07:00.911,1.28E-08,4.18E-08
,,,2022-12-13 14:07:01.410,8.64E-08,-7.32E-08
,,,2022-12-13 14:07:01.909,4.9E-08,3.72E-08
,,,2022-12-13 14:07:02.409,-5.02E-08,-3.98E-08
,,,2022-12-13 14:07:02.910,3.22E-08,2.28E-08
,,,2022-12-13 14:07:03.410,4.38E-08,4.1E-08
,,,2022-12-13 14:07:03.909,4.98E-08,3.92E-08
,,,2022-12-13 14:07:04.410,7.64E-08,4.04E-08
,,,2022-12-13 14:07:04.912,-5.04E-08,3.86E-08
,,,2022-12-13 14:07:05.412,-4.76E-08,3.36E-08
,,,2022-12-13 14:07:05.911,4.56E-08,3.94E-08
,,,2022-12-13 14:07:06.411,8.18E-08,4.12E-08
,,,2022-12-13 14:07:06.910,-3.86E-08,3.52E-08
,,,2022-12-13 14:07:07.411,-9.58E-08,3.56E-08
,,,2022-12-13 14:07:07.911,-5.22E-08,3.66E-08
,,,2022-12-13 14:07:08.412,-6.82E-08,3.14E-08
,,,2022-12-13 14:07:08.911,-1.42E-08,1.44E-08
,,,2022-12-13 14:07:09.411,4.58E-08,3.18E-08
,,,2022-12-13 14:07:09.911,5.3E-08,-6.76E-08
,,,2022-12-13 14:07:10.410,2.62E-08,4.02E-08
,,,2022-12-13 14:07:10.936,-4.34E-08,6.8E-09
,,,2022-12-13 14:07:11.412,5.68E-08,3.4E-08
,,,2022-12-13 14:07:11.910,-2.68E-08,3.46E-08
,,,2022-12-13 14:07:12.409,-7.7E-08,-8.2E-08
,,,2022-12-13 14:07:12.909,4.56E-08,-2.96E-08
,,,2022-12-13 14:07:13.409,8.08E-08,3.24E-08
,,,2022-12-13 14:07:13.910,-8.78E-08,3.54E-08
,,,2022-12-13 14:07:14.411,6.22E-08,4.24E-08
,,,2022-12-13 14:07:14.910,4.64E-08,3.5E-08
,,,2022-12-13 14:07:15.410,5.12E-08,3.36E-08
,,,2022-12-13 14:07:15.910,8.44E-08,3.68E-08
,,,2022-12-13 14:07:16.409,-9.98E-08,-7.26E-08
,,,2022-12-13 14:07:16.909,4.82E-08,1.42E-08
,,,2022-12-13 14:07:17.409,9.12E-08,-9E-08
,,,2022-12-13 14:07:17.909,5.3E-08,3.98E-08
,,,2022-12-13 14:07:18.410,4.98E-08,3.7E-08
,,,2022-12-13 14:07:18.910,0,-9E-09
,,,2022-12-13 14:07:19.411,1.54E-08,2.88E-08
,,,2022-12-13 14:07:19.910,4.82E-08,4.22E-08
,,,2022-12-13 14:07:20.409,-8.24E-08,5.8E-08
,,,2022-12-13 14:07:20.911,-9.94E-08,3.64E-08
,,,2022-12-13 14:07:21.410,2.26E-08,3.98E-08
,,,2022-12-13 14:07:21.910,4.8E-08,3.66E-08
,,,2022-12-13 14:07:22.410,6.56E-08,3.44E-08
,,,2022-12-13 14:07:22.910,-1.68E-08,4.06E-08
,,,2022-12-13 14:07:23.409,4.82E-08,-7.6E-09
,,,2022-12-13 14:07:23.910,-9.94E-08,4.46E-08
,,,2022-12-13 14:07:24.409,4.5E-08,3.22E-08
,,,2022-12-13 14:07:24.909,5.04E-08,3.54E-08
,,,2022-12-13 14:07:25.409,5.1E-08,3.46E-08
,,,2022-12-13 14:07:25.909,-9.46E-08,-2.86E-08
,,,2022-12-13 14:07:26.409,-2.02E-08,-6.92E-08
,,,2022-12-13 14:07:26.909,-4.4E-09,3.8E-08
,,,2022-12-13 14:07:27.409,4.9E-08,3.6E-08
,,,2022-12-13 14:07:27.909,4.7E-08,5.46E-08
,,,2022-12-13 14:07:28.409,4.44E-08,3.3E-08
,,,2022-12-13 14:07:28.909,3.76E-08,-5.9E-08
,,,2022-12-13 14:07:29.409,-1.82E-08,3.46E-08
,,,2022-12-13 14:07:29.910,4.08E-08,6.38E-08
,,,2022-12-13 14:07:30.409,4.9E-08,3.62E-08
,,,2022-12-13 14:07:30.910,-8.3E-08,3.5E-08
,,,2022-12-13 14:07:31.410,-5.7E-08,-6E-08
,,,2022-12-13 14:07:31.909,3.98E-08,3.6E-08
,,,2022-12-13 14:07:32.409,4.92E-08,3.98E-08
,,,2022-12-13 14:07:32.910,4.78E-08,3.42E-08
,,,2022-12-13 14:07:33.409,5.36E-08,3.72E-08
,,,2022-12-13 14:07:33.909,2.82E-08,3.92E-08
,,,2022-12-13 14:07:34.409,4.26E-08,-8.2E-08
,,,2022-12-13 14:07:34.910,-5.62E-08,3.68E-08
,,,2022-12-13 14:07:35.410,4.1E-08,-5.36E-08
,,,2022-12-13 14:07:35.909,4.48E-08,3.24E-08
,,,2022-12-13 14:07:36.410,-8.38E-08,3.28E-08
,,,2022-12-13 14:07:36.910,7.84E-08,3.48E-08
,,,2022-12-13 14:07:37.410,5.48E-08,3.54E-08
,,,2022-12-13 14:07:37.910,5.5E-08,8.5E-08
,,,2022-12-13 14:07:38.410,7.96E-08,3.26E-08
,,,2022-12-13 14:07:38.909,2.72E-08,3.34E-08
,,,2022-12-13 14:07:39.409,3.3E-08,3.58E-08
,,,2022-12-13 14:07:39.909,5.46E-08,7.38E-08
,,,2022-12-13 14:07:40.410,5.32E-08,-3.6E-08
,,,2022-12-13 14:07:40.910,3.8E-09,3.66E-08
,,,2022-12-13 14:07:41.410,-7.48E-08,4.2E-08
,,,2022-12-13 14:07:41.910,-6.02E-08,1.54E-08
,,,2022-12-13 14:07:42.410,-7.8E-08,3.72E-08
,,,2022-12-13 14:07:42.910,8.62E-08,3.2E-08
,,,2022-12-13 14:07:43.410,4.14E-08,3.92E-08
,,,2022-12-13 14:07:43.910,-8E-10,-6.76E-08
,,,2022-12-13 14:07:44.410,3E-09,-3.02E-08
,,,2022-12-13 14:07:44.910,4.42E-08,3.52E-08
,,,2022-12-13 14:07:45.409,-7.98E-08,3.74E-08
,,,2022-12-13 14:07:45.909,4.64E-08,3.54E-08
,,,2022-12-13 14:07:46.409,7.58E-08,3.4E-08
,,,2022-12-13 14:07:46.910,9.84E-08,3.76E-08
,,,2022-12-13 14:07:47.410,2.44E-08,3.6E-08
,,,2022-12-13 14:07:47.910,3.18E-08,-5.9E-08
,,,2022-12-13 14:07:48.409,-1.4E-08,-3.16E-08
,,,2022-12-13 14:07:48.909,3.26E-08,3.82E-08
,,,2022-12-13 14:07:49.409,-7.36E-08,3.6E-08
,,,2022-12-13 14:07:49.910,-5.14E-08,-3.14E-08
,,,2022-12-13 14:07:50.411,5.34E-08,3.16E-08
,,,2022-12-13 14:07:50.912,4.88E-08,3.64E-08
,,,2022-12-13 14:07:51.410,4E-10,3.66E-08
,,,2022-12-13 14:07:51.910,9.96E-08,4.48E-08
,,,2022-12-13 14:07:52.410,-4.38E-08,-9.06E-08
,,,2022-12-13 14:07:52.909,-3.8E-08,-7.02E-08
,,,2022-12-13 14:07:53.409,-5.66E-08,1.66E-08
,,,2022-12-13 14:07:53.908,4.58E-08,3.46E-08
,,,2022-12-13 14:07:54.408,4.72E-08,3.5E-08
,,,2022-12-13 14:07:54.909,4.26E-08,4.14E-08
,,,2022-12-13 14:07:55.409,5.9E-08,5.4E-08
,,,2022-12-13 14:07:55.909,-6.78E-08,1.98E-08
,,,2022-12-13 14:07:56.409,8.8E-08,3.24E-08
,,,2022-12-13 14:07:56.911,4.36E-08,3.58E-08
,,,2022-12-13 14:07:57.409,-9.14E-08,4.06E-08
,,,2022-12-13 14:07:57.909,5.36E-08,4.18E-08
,,,2022-12-13 14:07:58.411,4.74E-08,3.32E-08
,,,2022-12-13 14:07:58.911,-2.2E-08,3.78E-08
,,,2022-12-13 14:07:59.412,4.46E-08,1.88E-08
,,,2022-12-13 14:07:59.910,-4.3E-08,-8.74E-08
,,,2022-12-13 14:08:00.411,-8.1E-08,3.74E-08
,,,2022-12-13 14:08:00.910,-2.8E-08,4.32E-08
,,,2022-12-13 14:08:01.410,5.4E-08,-7.4E-08
,,,2022-12-13 14:08:01.910,5.46E-08,3.54E-08
,,,2022-12-13 14:08:02.411,4.4E-08,-2.6E-08
,,,2022-12-13 14:08:02.909,1.6E-09,3.8E-08
,,,2022-12-13 14:08:03.409,4.22E-08,4.84E-08
,,,2022-12-13 14:08:03.911,-6.24E-08,-4.36E-08
,,,2022-12-13 14:08:04.410,8.48E-08,6.8E-09
,,,2022-12-13 14:08:04.911,4.62E-08,3.84E-08
,,,2022-12-13 14:08:05.410,-5E-08,-6.48E-08
,,,2022-12-13 14:08:05.909,5.72E-08,4.02E-08
,,,2022-12-13 14:08:06.409,4.54E-08,-3.4E-08
,,,2022-12-13 14:08:06.910,-5.92E-08,-8.76E-08
,,,2022-12-13 14:08:07.412,-8.38E-08,3.38E-08
,,,2022-12-13 14:08:07.910,-4.98E-08,6.46E-08
,,,2022-12-13 14:08:08.410,-9.42E-08,3.58E-08
,,,2022-12-13 14:08:08.911,4.76E-08,3.28E-08
,,,2022-12-13 14:08:09.411,8.66E-08,3.36E-08
,,,2022-12-13 14:08:09.911,-7.88E-08,3.62E-08
,,,2022-12-13 14:08:10.411,-3.88E-08,3.16E-08
,,,2022-12-13 14:08:10.910,4.54E-08,4.14E-08
,,,2022-12-13 14:08:11.409,-1E-07,3.48E-08
,,,2022-12-13 14:08:11.909,-9E-08,3.3E-08
,,,2022-12-13 14:08:12.410,-8.4E-09,3.72E-08
,,,2022-12-13 14:08:12.910,-8.94E-08,3.7E-08
,,,2022-12-13 14:08:13.409,-6.22E-08,3.48E-08
,,,2022-12-13 14:08:13.909,6.54E-08,3.72E-08
,,,2022-12-13 14:08:14.409,4.26E-08,9.22E-08
,,,2022-12-13 14:08:14.909,3.78E-08,3.9E-08
,,,2022-12-13 14:08:15.409,9.98E-08,3.3E-08
,,,2022-12-13 14:08:15.909,4.82E-08,3.44E-08
,,,2022-12-13 14:08:16.410,5.72E-08,4.04E-08
,,,2022-12-13 14:08:16.910,8.72E-08,7.38E-08
,,,2022-12-13 14:08:17.410,-5.98E-08,3.36E-08
,,,2022-12-13 14:08:17.910,5.18E-08,3.4E-08
,,,2022-12-13 14:08:18.409,-3.66E-08,3.72E-08
,,,2022-12-13 14:08:18.910,7.08E-08,3.74E-08
,,,2022-12-13 14:08:19.410,4.22E-08,-4.24E-08
,,,2022-12-13 14:08:19.910,5.26E-08,3.44E-08
,,,2022-12-13 14:08:20.410,7.04E-08,3.98E-08
,,,2022-12-13 14:08:20.911,-9.98E-08,4.16E-08
,,,2022-12-13 14:08:21.409,-4.16E-08,3.8E-08
,,,2022-12-13 14:08:21.910,-7.24E-08,3.14E-08
,,,2022-12-13 14:08:22.410,3.7E-08,4.5E-08
,,,2022-12-13 14:08:22.909,-2.28E-08,3.74E-08
,,,2022-12-13 14:08:23.409,4.58E-08,4.14E-08
,,,2022-12-13 14:08:23.909,4.54E-08,-6.98E-08
,,,2022-12-13 14:08:24.409,4.44E-08,-7.7E-08
,,,2022-12-13 14:08:24.908,2.6E-09,7.34E-08
,,,2022-12-13 14:08:25.408,5.26E-08,-5.6E-09
,,,2022-12-13 14:08:25.908,9.72E-08,3.4E-08
,,,2022-12-13 14:08:26.408,4.46E-08,4.54E-08
,,,2022-12-13 14:08:26.908,-3.1E-08,4.12E-08
,,,2022-12-13 14:08:27.409,-4.06E-08,3.76E-08
,,,2022-12-13 14:08:27.908,-7E-08,3.64E-08
,,,2022-12-13 14:08:28.408,-6.84E-08,3.34E-08
,,,2022-12-13 14:08:28.908,9.96E-08,8.98E-08
,,,2022-12-13 14:08:29.409,6.84E-08,3.86E-08
,,,2022-12-13 14:08:29.908,9.74E-08,-4.64E-08
,,,2022-12-13 14:08:30.408,4.62E-08,3.78E-08
,,,2022-12-13 14:08:30.908,-3.06E-08,3.5E-08
,,,2022-12-13 14:08:31.408,4.1E-08,3.68E-08
,,,2022-12-13 14:08:31.910,5.22E-08,6.14E-08
,,,2022-12-13 14:08:32.411,3.8E-09,-3.32E-08
,,,2022-12-13 14:08:32.911,-9.34E-08,3.54E-08
,,,2022-12-13 14:08:33.409,6.12E-08,3.14E-08
,,,2022-12-13 14:08:33.910,4.68E-08,4.12E-08
,,,2022-12-13 14:08:34.410,-5.88E-08,-5.02E-08
,,,2022-12-13 14:08:34.911,-8.58E-08,3.06E-08
,,,2022-12-13 14:08:35.411,3.62E-08,3.12E-08
,,,2022-12-13 14:08:35.909,-4.5E-08,4.44E-08
,,,2022-12-13 14:08:36.409,4.1E-08,3.58E-08
,,,2022-12-13 14:08:36.909,4.68E-08,3.26E-08
,,,2022-12-13 14:08:37.409,-6E-08,4.24E-08
,,,2022-12-13 14:08:37.909,5.8E-08,3.26E-08
,,,2022-12-13 14:08:38.409,4.74E-08,4.24E-08
,,,2022-12-13 14:08:38.910,4.32E-08,7.1E-08
,,,2022-12-13 14:08:39.410,9.2E-08,3.78E-08
,,,2022-12-13 14:08:39.910,4.38E-08,-3.06E-08
,,,2022-12-13 14:08:40.410,-2.44E-08,3.2E-08
,,,2022-12-13 14:08:40.910,-9.4E-09,3.44E-08
,,,2022-12-13 14:08:41.410,-1.02E-08,3.12E-08
,,,2022-12-13 14:08:41.909,3.34E-08,4.84E-08
,,,2022-12-13 14:08:42.409,-9.96E-08,3.2E-08
,,,2022-12-13 14:08:42.910,-7.38E-08,3.54E-08
,,,2022-12-13 14:08:43.410,4.88E-08,4.68E-08
,,,2022-12-13 14:08:43.910,4.96E-08,3.9E-08
,,,2022-12-13 14:08:44.409,4.66E-08,3.64E-08
,,,2022-12-13 14:08:44.910,-5.42E-08,-1.02E-08
,,,2022-12-13 14:08:45.410,4.72E-08,4.24E-08
,,,2022-12-13 14:08:45.909,4.24E-08,3.54E-08
,,,2022-12-13 14:08:46.410,-1E-07,-1.8E-08
,,,2022-12-13 14:08:46.909,5.96E-08,4.06E-08
,,,2022-12-13 14:08:47.409,7.92E-08,4.36E-08
,,,2022-12-13 14:08:47.909,4.76E-08,3.5E-08
,,,2022-12-13 14:08:48.410,5E-08,3.06E-08
,,,2022-12-13 14:08:48.910,-4.34E-08,6.02E-08
,,,2022-12-13 14:08:49.411,4.52E-08,-3.06E-08
,,,2022-12-13 14:08:49.911,7.52E-08,8.38E-08
,,,2022-12-13 14:08:50.411,-5.04E-08,-4.16E-08
,,,2022-12-13 14:08:50.910,-7.12E-08,3.98E-08
,,,2022-12-13 14:08:51.411,-2.72E-08,3.68E-08
,,,2022-12-13 14:08:51.911,-4.1E-08,-5.1E-08
,,,2022-12-13 14:08:52.411,3.08E-08,9.98E-08
,,,2022-12-13 14:08:52.911,9.8E-08,3.3E-08
,,,2022-12-13 14:08:53.410,4.22E-08,9.98E-08
,,,2022-12-13 14:08:53.910,7.44E-08,5.44E-08
,,,2022-12-13 14:08:54.409,-8.04E-08,4.26E-08
,,,2022-12-13 14:08:54.909,7E-09,3.48E-08
,,,2022-12-13 14:08:55.410,1.6E-09,7.84E-08
,,,2022-12-13 14:08:55.911,-1.3E-08,-8.2E-08
,,,2022-12-13 14:08:56.409,-1E-07,4.02E-08
,,,2022-12-13 14:08:56.910,-5.26E-08,3.78E-08
,,,2022-12-13 14:08:57.409,8.42E-08,3.3E-08
,,,2022-12-13 14:08:57.910,-4.04E-08,-6.46E-08
,,,2022-12-13 14:08:58.410,4.38E-08,-5.8E-09
,,,2022-12-13 14:08:58.911,5E-09,3.44E-08
,,,2022-12-13 14:08:59.411,4.2E-09,3.54E-08
,,,2022-12-13 14:08:59.910,-9.3E-08,5.92E-08
,,,2022-12-13 14:09:00.410,-5.2E-09,4.3E-08
,,,2022-12-13 14:09:00.911,4.98E-08,-8.3E-08
,,,2022-12-13 14:09:01.410,4.24E-08,4.46E-08
,,,2022-12-13 14:09:01.911,4.28E-08,3.86E-08
,,,2022-12-13 14:09:02.410,4.36E-08,3.46E-08
,,,2022-12-13 14:09:02.912,-2.9E-08,3.4E-08
,,,2022-12-13 14:09:03.411,5.16E-08,3.06E-08
,,,2022-12-13 14:09:03.910,4.04E-08,3.9E-08
,,,2022-12-13 14:09:04.410,3.76E-08,5.4E-09
,,,2022-12-13 14:09:04.911,5E-08,3.42E-08
,,,2022-12-13 14:09:05.410,6.12E-08,3.72E-08
,,,2022-12-13 14:09:05.910,4.5E-08,3.86E-08
,,,2022-12-13 14:09:06.410,4.3E-08,3.5E-08
,,,2022-12-13 14:09:06.910,5.94E-08,4.06E-08
,,,2022-12-13 14:09:07.410,5.58E-08,-8.28E-08
,,,2022-12-13 14:09:07.911,-9.3E-08,-1.6E-08
,,,2022-12-13 14:09:08.410,5.32E-08,8E-10
,,,2022-12-13 14:09:08.909,5.4E-08,3.94E-08
,,,2022-12-13 14:09:09.409,4.98E-08,3.62E-08
,,,2022-12-13 14:09:09.910,-9E-08,3.32E-08
,,,2022-12-13 14:09:10.409,4.68E-08,3.98E-08
,,,2022-12-13 14:09:10.909,1.6E-08,3.32E-08
,,,2022-12-13 14:09:11.410,5.16E-08,3.82E-08
,,,2022-12-13 14:09:11.910,-9.68E-08,3.64E-08
,,,2022-12-13 14:09:12.409,-7.12E-08,3.9E-08
,,,2022-12-13 14:09:12.910,4.34E-08,3.46E-08
,,,2022-12-13 14:09:13.410,-4.8E-09,3.64E-08
,,,2022-12-13 14:09:13.910,2.3E-08,3.28E-08
,,,2022-12-13 14:09:14.410,4.68E-08,7.6E-09
,,,2022-12-13 14:09:14.910,-3.02E-08,2.22E-08
,,,2022-12-13 14:09:15.410,2.1E-08,7.26E-08
,,,2022-12-13 14:09:15.910,-3.3E-08,4.72E-08
,,,2022-12-13 14:09:16.410,3.6E-08,3.44E-08
,,,2022-12-13 14:09:16.909,9.64E-08,4.5E-08
,,,2022-12-13 14:09:17.409,-4.9E-08,3.4E-08
,,,2022-12-13 14:09:17.910,5.94E-08,3.32E-08
,,,2022-12-13 14:09:18.410,6.78E-08,-6.9E-08
,,,2022-12-13 14:09:18.909,4.2E-08,-1E-07
,,,2022-12-13 14:09:19.408,-3.66E-08,3.72E-08
,,,2022-12-13 14:09:19.908,-1.08E-08,3.56E-08
,,,2022-12-13 14:09:20.408,5.58E-08,-9.62E-08
,,,2022-12-13 14:09:20.908,-2.16E-08,3.34E-08
,,,2022-12-13 14:09:21.408,-9.16E-08,-5.26E-08
,,,2022-12-13 14:09:21.908,-8.38E-08,4.56E-08
,,,2022-12-13 14:09:22.408,-4.9E-08,7.62E-08
,,,2022-12-13 14:09:22.909,4.32E-08,3.42E-08
,,,2022-12-13 14:09:23.409,6.28E-08,3.26E-08
,,,2022-12-13 14:09:23.909,4.24E-08,3.66E-08
,,,2022-12-13 14:09:24.409,-4.52E-08,3.54E-08
,,,2022-12-13 14:09:24.909,4.16E-08,3.4E-08
,,,2022-12-13 14:09:25.410,4.56E-08,3.8E-08
,,,2022-12-13 14:09:25.910,8.54E-08,2.54E-08
,,,2022-12-13 14:09:26.411,3.42E-08,3.64E-08
,,,2022-12-13 14:09:26.911,-4.14E-08,3.54E-08
,,,2022-12-13 14:09:27.409,4.2E-08,6.5E-08
,,,2022-12-13 14:09:27.909,8.4E-08,3.28E-08
,,,2022-12-13 14:09:28.409,-9.08E-08,3.88E-08
,,,2022-12-13 14:09:28.909,-1E-07,4.3E-08
,,,2022-12-13 14:09:29.410,-7.48E-08,3.62E-08
,,,2022-12-13 14:09:29.911,-8.58E-08,3.26E-08
,,,2022-12-13 14:09:30.410,-9.16E-08,3.42E-08
,,,2022-12-13 14:09:30.910,-9.6E-08,3.52E-08
,,,2022-12-13 14:09:31.409,4.96E-08,4.1E-08
,,,2022-12-13 14:09:31.909,-6.12E-08,3.4E-08
,,,2022-12-13 14:09:32.409,-9.82E-08,4.16E-08
,,,2022-12-13 14:09:32.909,4.78E-08,4.7E-08
,,,2022-12-13 14:09:33.409,-8.6E-09,3.4E-08
,,,2022-12-13 14:09:33.909,4.78E-08,4.22E-08
,,,2022-12-13 14:09:34.408,-9.76E-08,4.04E-08
,,,2022-12-13 14:09:34.910,-4.46E-08,1.04E-08
,,,2022-12-13 14:09:35.410,6.2E-08,3.5E-08
,,,2022-12-13 14:09:35.912,-1.4E-08,8E-09
,,,2022-12-13 14:09:36.409,-8.64E-08,3.64E-08
,,,2022-12-13 14:09:36.909,-3.26E-08,3.58E-08
,,,2022-12-13 14:09:37.409,5.28E-08,3.92E-08
,,,2022-12-13 14:09:37.910,4.82E-08,3.72E-08
,,,2022-12-13 14:09:38.411,-1.22E-08,4.16E-08
,,,2022-12-13 14:09:38.912,5E-08,3.6E-08
,,,2022-12-13 14:09:39.412,-9.08E-08,-9.44E-08
,,,2022-12-13 14:09:39.909,8E-08,3.12E-08
,,,2022-12-13 14:09:40.411,-4.92E-08,3.66E-08
,,,2022-12-13 14:09:40.911,4.04E-08,-7.64E-08
,,,2022-12-13 14:09:41.412,7.26E-08,3.46E-08
,,,2022-12-13 14:09:41.909,-1.9E-08,3.84E-08
,,,2022-12-13 14:09:42.411,4.1E-08,-7.22E-08
,,,2022-12-13 14:09:42.911,-3.4E-08,5.48E-08
,,,2022-12-13 14:09:43.411,4.42E-08,3.66E-08
,,,2022-12-13 14:09:43.911,1.82E-08,3.54E-08
,,,2022-12-13 14:09:44.410,-9.4E-08,3.58E-08
,,,2022-12-13 14:09:44.910,4.04E-08,3.94E-08
,,,2022-12-13 14:09:45.409,-3.32E-08,-9.52E-08
,,,2022-12-13 14:09:45.910,4.84E-08,-4.6E-09
,,,2022-12-13 14:09:46.410,-1E-07,7.5E-08
,,,2022-12-13 14:09:46.911,1.8E-08,3.22E-08
,,,2022-12-13 14:09:47.409,-3.2E-08,3.98E-08
,,,2022-12-13 14:09:47.910,-3.1E-08,3.14E-08
,,,2022-12-13 14:09:48.411,7.98E-08,3.88E-08
,,,2022-12-13 14:09:48.911,-4.3E-08,-1.6E-08
,,,2022-12-13 14:09:49.410,4.64E-08,4E-08
,,,2022-12-13 14:09:49.911,4.96E-08,4.06E-08
,,,2022-12-13 14:09:50.409,4.74E-08,4.24E-08
,,,2022-12-13 14:09:50.910,4.38E-08,3.36E-08
,,,2022-12-13 14:09:51.410,-5.88E-08,3.58E-08
,,,2022-12-13 14:09:51.909,-2.14E-08,3.54E-08
,,,2022-12-13 14:09:52.410,3.18E-08,4.26E-08
,,,2022-12-13 14:09:52.910,-3.62E-08,3.62E-08
,,,2022-12-13 14:09:53.409,5.98E-08,3.9E-08
,,,2022-12-13 14:09:53.909,-8E-08,-7.6E-08
,,,2022-12-13 14:09:54.410,-8.76E-08,3.38E-08
,,,2022-12-13 14:09:54.910,7.2E-09,-6.4E-08
,,,2022-12-13 14:09:55.411,4.52E-08,3.58E-08
,,,2022-12-13 14:09:55.910,-6.08E-08,4.52E-08
,,,2022-12-13 14:09:56.410,-5.68E-08,3.14E-08
,,,2022-12-13 14:09:56.909,3.6E-08,5.64E-08
,,,2022-12-13 14:09:57.410,-7.82E-08,4.22E-08
,,,2022-12-13 14:09:57.909,4.12E-08,4.72E-08
,,,2022-12-13 14:09:58.409,5E-08,-7.9E-08
,,,2022-12-13 14:09:58.909,-7.72E-08,3.5E-08
